date,event,player_a,player_b,score_a,odds_a,odds_b
2020-12-07,Demo 2.171,M. Rossi,I. Costa,0,1.51,2.33
2020-12-09,Demo 2.172,O. Silva,K. Mbaye,0,2.5,1.56
2020-12-11,Demo 2.173,H. Van Dijk,D. Moreau,1,2.37,1.52
2020-12-13,Demo 2.174,B. Ferreira,M. Rossi,0,2.53,1.71
2020-12-15,Demo 2.175,A. Novak,D. Moreau,1,2.28,1.69
2020-12-17,Demo 2.176,B. Ferreira,D. Moreau,0,2.41,1.58
2020-12-19,Demo 2.177,G. Petrov,M. Rossi,0,2.08,1.8
2020-12-21,Demo 2.178,K. Mbaye,J. Schmidt,0,1.89,2.02
2020-12-23,Demo 2.179,J. Schmidt,O. Silva,1,1.55,2.34
2020-12-25,Demo 2.180,F. O'Connell,K. Mbaye,0,2.78,1.47
2020-12-27,Demo 3.1,L. Kowalski,K. Mbaye,1,1.68,2.43
2020-12-29,Demo 3.2,M. Rossi,C. Lindqvist,0,1.75,2.25
2020-12-31,Demo 3.3,J. Schmidt,N. Berg,0,2.05,2.11
2021-01-02,Demo 3.4,E. Tanaka,G. Petrov,1,2.09,1.64
2021-01-04,Demo 3.5,O. Silva,N. Berg,0,2.23,1.56
2021-01-06,Demo 3.6,B. Ferreira,N. Berg,1,2.0,1.88
2021-01-08,Demo 3.7,G. Petrov,H. Van Dijk,1,1.56,2.14
2021-01-10,Demo 3.8,G. Petrov,L. Kowalski,1,2.2,1.62
2021-01-12,Demo 3.9,H. Van Dijk,L. Kowalski,0,2.67,1.58
2021-01-14,Demo 3.10,M. Rossi,H. Van Dijk,1,1.62,2.3
2021-01-16,Demo 3.11,P. Doyle,H. Van Dijk,0,2.11,1.57
2021-01-18,Demo 3.12,L. Kowalski,F. O'Connell,1,1.42,3.05
2021-01-20,Demo 3.13,E. Tanaka,A. Novak,0,1.74,1.95
2021-01-22,Demo 3.14,K. Mbaye,D. Moreau,0,2.08,1.79
2021-01-24,Demo 3.15,K. Mbaye,E. Tanaka,0,1.84,2.08
2021-01-26,Demo 3.16,L. Kowalski,C. Lindqvist,1,1.55,2.57
2021-01-28,Demo 3.17,B. Ferreira,I. Costa,0,1.86,1.99
2021-01-30,Demo 3.18,N. Berg,C. Lindqvist,0,1.8,1.88
2021-02-01,Demo 3.19,A. Novak,D. Moreau,0,2.33,1.65
2021-02-03,Demo 3.20,P. Doyle,K. Mbaye,0,2.37,1.53
2021-02-05,Demo 3.21,A. Novak,P. Doyle,0,1.62,2.15
2021-02-07,Demo 3.22,N. Berg,M. Rossi,0,2.08,1.58
2021-02-09,Demo 3.23,E. Tanaka,D. Moreau,0,2.19,1.62
2021-02-11,Demo 3.24,L. Kowalski,G. Petrov,1,1.61,2.16
2021-02-13,Demo 3.25,J. Schmidt,K. Mbaye,0,1.99,1.87
2021-02-15,Demo 3.26,M. Rossi,G. Petrov,1,1.87,2.04
2021-02-17,Demo 3.27,F. O'Connell,B. Ferreira,0,2.56,1.61
2021-02-19,Demo 3.28,D. Moreau,O. Silva,1,1.47,2.59
2021-02-21,Demo 3.29,P. Doyle,E. Tanaka,0,2.33,1.55
2021-02-23,Demo 3.30,B. Ferreira,C. Lindqvist,0,2.01,1.72
2021-02-25,Demo 3.31,E. Tanaka,M. Rossi,0,2.49,1.65
2021-02-27,Demo 3.32,M. Rossi,K. Mbaye,0,1.79,1.98
2021-03-01,Demo 3.33,E. Tanaka,M. Rossi,0,2.31,1.61
2021-03-03,Demo 3.34,N. Berg,D. Moreau,0,2.29,1.6
2021-03-05,Demo 3.35,M. Rossi,P. Doyle,1,1.41,2.82
2021-03-07,Demo 3.36,M. Rossi,G. Petrov,1,1.83,2.1
2021-03-09,Demo 3.37,J. Schmidt,M. Rossi,1,2.13,1.78
2021-03-11,Demo 3.38,E. Tanaka,L. Kowalski,0,2.59,1.5
2021-03-13,Demo 3.39,J. Schmidt,H. Van Dijk,1,1.71,2.05
2021-03-15,Demo 3.40,N. Berg,B. Ferreira,1,1.81,2.01
2021-03-17,Demo 3.41,K. Mbaye,N. Berg,1,1.81,1.82
2021-03-19,Demo 3.42,H. Van Dijk,J. Schmidt,0,2.11,1.79
2021-03-21,Demo 3.43,I. Costa,E. Tanaka,1,1.9,1.88
2021-03-23,Demo 3.44,C. Lindqvist,F. O'Connell,1,1.5,2.41
2021-03-25,Demo 3.45,G. Petrov,H. Van Dijk,0,1.65,2.27
2021-03-27,Demo 3.46,K. Mbaye,H. Van Dijk,1,1.67,2.34
2021-03-29,Demo 3.47,E. Tanaka,P. Doyle,1,1.49,2.47
2021-03-31,Demo 3.48,K. Mbaye,E. Tanaka,0,1.88,2.27
2021-04-02,Demo 3.49,H. Van Dijk,F. O'Connell,1,1.47,2.4
2021-04-04,Demo 3.50,F. O'Connell,K. Mbaye,0,2.51,1.45
2021-04-06,Demo 3.51,G. Petrov,H. Van Dijk,1,1.8,2.1
2021-04-08,Demo 3.52,P. Doyle,C. Lindqvist,0,2.35,1.52
2021-04-10,Demo 3.53,N. Berg,M. Rossi,0,2.1,1.77
2021-04-12,Demo 3.54,N. Berg,I. Costa,1,1.68,2.09
2021-04-14,Demo 3.55,C. Lindqvist,B. Ferreira,1,1.99,1.95
2021-04-16,Demo 3.56,M. Rossi,P. Doyle,1,1.46,2.79
2021-04-18,Demo 3.57,D. Moreau,E. Tanaka,1,1.53,2.35
2021-04-20,Demo 3.58,L. Kowalski,G. Petrov,1,1.65,2.48
2021-04-22,Demo 3.59,E. Tanaka,F. O'Connell,1,1.51,2.53
2021-04-24,Demo 3.60,E. Tanaka,F. O'Connell,1,1.54,2.56
2021-04-26,Demo 3.61,P. Doyle,F. O'Connell,0,1.71,2.17
2021-04-28,Demo 3.62,D. Moreau,A. Novak,0,1.66,2.47
2021-04-30,Demo 3.63,F. O'Connell,O. Silva,1,2.29,1.6
2021-05-02,Demo 3.64,O. Silva,D. Moreau,0,2.68,1.52
2021-05-04,Demo 3.65,N. Berg,G. Petrov,1,1.99,1.87
2021-05-06,Demo 3.66,G. Petrov,D. Moreau,1,2.13,1.88
2021-05-08,Demo 3.67,D. Moreau,M. Rossi,1,1.92,1.99
2021-05-10,Demo 3.68,P. Doyle,I. Costa,0,2.34,1.58
2021-05-12,Demo 3.69,M. Rossi,J. Schmidt,1,1.66,2.1
2021-05-14,Demo 3.70,J. Schmidt,O. Silva,1,1.59,2.3
2021-05-16,Demo 3.71,D. Moreau,P. Doyle,1,1.44,2.9
2021-05-18,Demo 3.72,E. Tanaka,J. Schmidt,1,1.97,1.72
2021-05-20,Demo 3.73,F. O'Connell,I. Costa,1,2.45,1.49
2021-05-22,Demo 3.74,L. Kowalski,A. Novak,1,1.5,2.43
2021-05-24,Demo 3.75,P. Doyle,G. Petrov,0,2.71,1.53
2021-05-26,Demo 3.76,A. Novak,M. Rossi,0,2.32,1.58
2021-05-28,Demo 3.77,J. Schmidt,C. Lindqvist,0,1.9,2.12
2021-05-30,Demo 3.78,D. Moreau,E. Tanaka,0,1.59,2.42
2021-06-01,Demo 3.79,B. Ferreira,M. Rossi,0,2.46,1.54
2021-06-03,Demo 3.80,H. Van Dijk,E. Tanaka,0,1.91,1.83
2021-06-05,Demo 3.81,C. Lindqvist,H. Van Dijk,0,1.87,1.94
2021-06-07,Demo 3.82,L. Kowalski,N. Berg,1,1.59,2.49
2021-06-09,Demo 3.83,E. Tanaka,M. Rossi,1,2.22,1.66
2021-06-11,Demo 3.84,F. O'Connell,P. Doyle,0,2.17,1.64
2021-06-13,Demo 3.85,D. Moreau,C. Lindqvist,0,1.64,2.1
2021-06-15,Demo 3.86,E. Tanaka,L. Kowalski,0,2.55,1.45
2021-06-17,Demo 3.87,H. Van Dijk,M. Rossi,1,2.47,1.65
2021-06-19,Demo 3.88,M. Rossi,H. Van Dijk,1,1.57,2.58
2021-06-21,Demo 3.89,M. Rossi,I. Costa,0,1.69,2.47
2021-06-23,Demo 3.90,A. Novak,N. Berg,0,2.04,1.92
2021-06-25,Demo 3.91,O. Silva,K. Mbaye,1,2.49,1.62
2021-06-27,Demo 3.92,N. Berg,P. Doyle,1,1.56,2.25
2021-06-29,Demo 3.93,K. Mbaye,I. Costa,1,1.77,2.2
2021-07-01,Demo 3.94,B. Ferreira,A. Novak,1,1.9,1.98
2021-07-03,Demo 3.95,D. Moreau,O. Silva,1,1.54,2.53
2021-07-05,Demo 3.96,E. Tanaka,O. Silva,1,1.61,2.02
2021-07-07,Demo 3.97,I. Costa,B. Ferreira,1,1.97,1.85
2021-07-09,Demo 3.98,M. Rossi,K. Mbaye,1,1.75,2.17
2021-07-11,Demo 3.99,C. Lindqvist,L. Kowalski,1,2.49,1.57
2021-07-13,Demo 3.100,O. Silva,A. Novak,1,2.22,1.66
2021-07-15,Demo 3.101,N. Berg,L. Kowalski,0,2.4,1.57
2021-07-17,Demo 3.102,K. Mbaye,F. O'Connell,0,1.41,2.55
2021-07-19,Demo 3.103,E. Tanaka,K. Mbaye,0,2.08,1.67
2021-07-21,Demo 3.104,O. Silva,F. O'Connell,0,1.66,2.33
2021-07-23,Demo 3.105,N. Berg,J. Schmidt,1,2.06,1.81
2021-07-25,Demo 3.106,M. Rossi,F. O'Connell,0,1.43,2.79
2021-07-27,Demo 3.107,I. Costa,K. Mbaye,0,2.06,1.82
2021-07-29,Demo 3.108,A. Novak,N. Berg,0,1.98,1.83
2021-07-31,Demo 3.109,G. Petrov,L. Kowalski,0,2.22,1.61
2021-08-02,Demo 3.110,M. Rossi,B. Ferreira,1,1.63,2.35
2021-08-04,Demo 3.111,A. Novak,F. O'Connell,0,1.52,2.7
2021-08-06,Demo 3.112,F. O'Connell,M. Rossi,0,2.81,1.42
2021-08-08,Demo 3.113,C. Lindqvist,A. Novak,1,1.87,1.9
2021-08-10,Demo 3.114,N. Berg,G. Petrov,0,1.92,1.77
2021-08-12,Demo 3.115,E. Tanaka,P. Doyle,0,1.59,2.28
2021-08-14,Demo 3.116,K. Mbaye,G. Petrov,0,1.94,1.97
2021-08-16,Demo 3.117,C. Lindqvist,E. Tanaka,0,2.02,1.88
2021-08-18,Demo 3.118,N. Berg,B. Ferreira,1,1.84,2.08
2021-08-20,Demo 3.119,F. O'Connell,B. Ferreira,1,2.56,1.56
2021-08-22,Demo 3.120,I. Costa,C. Lindqvist,1,1.95,2.02
2021-08-24,Demo 3.121,D. Moreau,M. Rossi,1,1.93,1.99
2021-08-26,Demo 3.122,C. Lindqvist,H. Van Dijk,1,1.89,1.9
2021-08-28,Demo 3.123,F. O'Connell,P. Doyle,0,2.01,1.73
2021-08-30,Demo 3.124,A. Novak,P. Doyle,0,1.59,2.34
2021-09-01,Demo 3.125,L. Kowalski,G. Petrov,0,1.63,2.13
2021-09-03,Demo 3.126,N. Berg,D. Moreau,1,2.34,1.64
2021-09-05,Demo 3.127,I. Costa,N. Berg,0,2.02,1.74
2021-09-07,Demo 3.128,B. Ferreira,G. Petrov,1,2.23,1.7
2021-09-09,Demo 3.129,J. Schmidt,F. O'Connell,1,1.45,2.76
2021-09-11,Demo 3.130,H. Van Dijk,P. Doyle,1,1.47,2.34
2021-09-13,Demo 3.131,G. Petrov,L. Kowalski,1,2.43,1.56
2021-09-15,Demo 3.132,H. Van Dijk,I. Costa,1,1.85,2.02
2021-09-17,Demo 3.133,K. Mbaye,A. Novak,0,1.82,2.1
2021-09-19,Demo 3.134,H. Van Dijk,G. Petrov,0,1.92,1.61
2021-09-21,Demo 3.135,I. Costa,B. Ferreira,0,1.91,2.03
2021-09-23,Demo 3.136,O. Silva,L. Kowalski,1,2.73,1.43
2021-09-25,Demo 3.137,M. Rossi,B. Ferreira,1,1.63,2.25
2021-09-27,Demo 3.138,K. Mbaye,O. Silva,0,1.61,2.59
2021-09-29,Demo 3.139,K. Mbaye,H. Van Dijk,1,1.69,2.12
2021-10-01,Demo 3.140,E. Tanaka,B. Ferreira,1,1.96,1.91
2021-10-03,Demo 3.141,L. Kowalski,M. Rossi,1,1.66,2.11
2021-10-05,Demo 3.142,J. Schmidt,N. Berg,0,1.95,1.94
2021-10-07,Demo 3.143,K. Mbaye,C. Lindqvist,1,1.74,2.21
2021-10-09,Demo 3.144,I. Costa,N. Berg,0,1.97,1.76
2021-10-11,Demo 3.145,O. Silva,I. Costa,0,2.23,1.69
2021-10-13,Demo 3.146,A. Novak,P. Doyle,0,1.58,2.34
2021-10-15,Demo 3.147,M. Rossi,F. O'Connell,1,1.52,3.25
2021-10-17,Demo 3.148,C. Lindqvist,A. Novak,0,1.86,1.82
2021-10-19,Demo 3.149,E. Tanaka,B. Ferreira,1,1.97,1.84
2021-10-21,Demo 3.150,F. O'Connell,O. Silva,0,2.23,1.69
2021-10-23,Demo 3.151,A. Novak,G. Petrov,1,2.19,1.7
2021-10-25,Demo 3.152,E. Tanaka,A. Novak,0,1.98,1.99
2021-10-27,Demo 3.153,P. Doyle,G. Petrov,1,2.69,1.55
2021-10-29,Demo 3.154,H. Van Dijk,K. Mbaye,0,2.16,1.72
2021-10-31,Demo 3.155,M. Rossi,P. Doyle,1,1.52,2.83
2021-11-02,Demo 3.156,K. Mbaye,G. Petrov,1,1.85,1.85
2021-11-04,Demo 3.157,A. Novak,O. Silva,0,1.73,2.29
2021-11-06,Demo 3.158,H. Van Dijk,C. Lindqvist,1,2.01,1.89
2021-11-08,Demo 3.159,B. Ferreira,M. Rossi,0,2.32,1.6
2021-11-10,Demo 3.160,F. O'Connell,C. Lindqvist,0,2.69,1.44
2021-11-12,Demo 3.161,L. Kowalski,O. Silva,1,1.48,2.88
2021-11-14,Demo 3.162,G. Petrov,N. Berg,0,1.76,2.08
2021-11-16,Demo 3.163,J. Schmidt,C. Lindqvist,1,1.81,1.99
2021-11-18,Demo 3.164,A. Novak,F. O'Connell,0,1.5,2.51
2021-11-20,Demo 3.165,F. O'Connell,O. Silva,1,2.51,1.58
2021-11-22,Demo 3.166,E. Tanaka,M. Rossi,1,2.4,1.64
2021-11-24,Demo 3.167,C. Lindqvist,F. O'Connell,1,1.58,2.66
2021-11-26,Demo 3.168,F. O'Connell,L. Kowalski,0,2.88,1.5
2021-11-28,Demo 3.169,K. Mbaye,C. Lindqvist,0,1.85,2.13
2021-11-30,Demo 3.170,F. O'Connell,G. Petrov,0,2.81,1.47
2021-12-02,Demo 3.171,A. Novak,L. Kowalski,0,2.6,1.51
2021-12-04,Demo 3.172,K. Mbaye,O. Silva,0,1.64,2.51
2021-12-06,Demo 3.173,D. Moreau,O. Silva,1,1.5,2.69
2021-12-08,Demo 3.174,C. Lindqvist,N. Berg,0,2.13,1.93
2021-12-10,Demo 3.175,O. Silva,A. Novak,1,2.12,1.68
2021-12-12,Demo 3.176,A. Novak,P. Doyle,1,1.62,2.68
2021-12-14,Demo 3.177,N. Berg,H. Van Dijk,1,1.8,2.01
2021-12-16,Demo 3.178,H. Van Dijk,C. Lindqvist,0,1.97,1.86
2021-12-18,Demo 3.179,A. Novak,F. O'Connell,1,1.49,2.52
2021-12-20,Demo 3.180,C. Lindqvist,I. Costa,0,1.8,1.96
2021-12-22,Demo 4.1,P. Doyle,L. Kowalski,0,2.81,1.4
2021-12-24,Demo 4.2,D. Moreau,F. O'Connell,1,1.4,2.66
2021-12-26,Demo 4.3,I. Costa,K. Mbaye,1,2.05,1.85
2021-12-28,Demo 4.4,E. Tanaka,A. Novak,1,1.96,1.88
2021-12-30,Demo 4.5,P. Doyle,D. Moreau,0,2.67,1.41
2022-01-01,Demo 4.6,D. Moreau,E. Tanaka,0,1.74,2.27
2022-01-03,Demo 4.7,I. Costa,B. Ferreira,1,1.99,1.92
2022-01-05,Demo 4.8,B. Ferreira,E. Tanaka,1,1.94,1.75
2022-01-07,Demo 4.9,B. Ferreira,C. Lindqvist,1,2.06,1.93
2022-01-09,Demo 4.10,H. Van Dijk,I. Costa,1,2.0,1.83
2022-01-11,Demo 4.11,P. Doyle,J. Schmidt,1,2.57,1.49
2022-01-13,Demo 4.12,E. Tanaka,B. Ferreira,0,2.08,1.87
2022-01-15,Demo 4.13,F. O'Connell,D. Moreau,0,2.98,1.38
2022-01-17,Demo 4.14,E. Tanaka,N. Berg,0,2.07,1.71
2022-01-19,Demo 4.15,C. Lindqvist,B. Ferreira,1,1.83,1.95
2022-01-21,Demo 4.16,A. Novak,M. Rossi,0,2.48,1.68
2022-01-23,Demo 4.17,D. Moreau,G. Petrov,1,1.69,2.04
2022-01-25,Demo 4.18,D. Moreau,J. Schmidt,0,1.66,2.41
2022-01-27,Demo 4.19,L. Kowalski,O. Silva,1,1.42,2.83
2022-01-29,Demo 4.20,I. Costa,G. Petrov,1,2.3,1.76
2022-01-31,Demo 4.21,B. Ferreira,G. Petrov,1,2.2,1.71
2022-02-02,Demo 4.22,L. Kowalski,A. Novak,1,1.51,2.68
2022-02-04,Demo 4.23,P. Doyle,N. Berg,0,2.52,1.47
2022-02-06,Demo 4.24,O. Silva,M. Rossi,0,2.61,1.46
2022-02-08,Demo 4.25,C. Lindqvist,D. Moreau,0,2.22,1.69
2022-02-10,Demo 4.26,L. Kowalski,N. Berg,1,1.56,2.48
2022-02-12,Demo 4.27,M. Rossi,C. Lindqvist,1,1.7,2.19
2022-02-14,Demo 4.28,G. Petrov,N. Berg,1,1.79,2.0
2022-02-16,Demo 4.29,L. Kowalski,P. Doyle,1,1.38,3.24
2022-02-18,Demo 4.30,A. Novak,D. Moreau,0,2.39,1.63
2022-02-20,Demo 4.31,P. Doyle,J. Schmidt,0,2.51,1.56
2022-02-22,Demo 4.32,C. Lindqvist,E. Tanaka,1,1.77,1.87
2022-02-24,Demo 4.33,G. Petrov,N. Berg,1,1.77,2.07
2022-02-26,Demo 4.34,A. Novak,H. Van Dijk,0,1.91,2.05
2022-02-28,Demo 4.35,A. Novak,D. Moreau,0,2.14,1.54
2022-03-02,Demo 4.36,N. Berg,O. Silva,1,1.64,2.26
2022-03-04,Demo 4.37,O. Silva,E. Tanaka,0,2.39,1.62
2022-03-06,Demo 4.38,L. Kowalski,I. Costa,1,1.54,2.67
2022-03-08,Demo 4.39,D. Moreau,H. Van Dijk,1,1.52,2.33
2022-03-10,Demo 4.40,J. Schmidt,D. Moreau,1,2.17,1.82
2022-03-12,Demo 4.41,M. Rossi,K. Mbaye,1,1.71,2.19
2022-03-14,Demo 4.42,N. Berg,G. Petrov,1,1.89,1.79
2022-03-16,Demo 4.43,G. Petrov,F. O'Connell,1,1.48,2.7
2022-03-18,Demo 4.44,L. Kowalski,I. Costa,1,1.47,2.42
2022-03-20,Demo 4.45,F. O'Connell,E. Tanaka,0,2.54,1.48
2022-03-22,Demo 4.46,F. O'Connell,K. Mbaye,0,2.8,1.49
2022-03-24,Demo 4.47,H. Van Dijk,L. Kowalski,0,2.73,1.54
2022-03-26,Demo 4.48,O. Silva,N. Berg,1,2.18,1.59
2022-03-28,Demo 4.49,C. Lindqvist,H. Van Dijk,0,1.89,2.03
2022-03-30,Demo 4.50,B. Ferreira,N. Berg,0,2.0,1.76
2022-04-01,Demo 4.51,N. Berg,J. Schmidt,1,2.06,1.87
2022-04-03,Demo 4.52,C. Lindqvist,H. Van Dijk,1,1.78,1.98
2022-04-05,Demo 4.53,B. Ferreira,A. Novak,0,1.9,1.93
2022-04-07,Demo 4.54,C. Lindqvist,P. Doyle,1,1.64,2.45
2022-04-09,Demo 4.55,P. Doyle,G. Petrov,0,2.57,1.42
2022-04-11,Demo 4.56,G. Petrov,A. Novak,0,1.75,2.19
2022-04-13,Demo 4.57,L. Kowalski,E. Tanaka,1,1.49,2.43
2022-04-15,Demo 4.58,J. Schmidt,E. Tanaka,1,1.89,2.03
2022-04-17,Demo 4.59,N. Berg,O. Silva,0,1.64,2.53
2022-04-19,Demo 4.60,F. O'Connell,O. Silva,0,2.35,1.61
2022-04-21,Demo 4.61,E. Tanaka,D. Moreau,1,2.48,1.67
2022-04-23,Demo 4.62,B. Ferreira,G. Petrov,0,2.15,1.64
2022-04-25,Demo 4.63,B. Ferreira,J. Schmidt,0,2.04,1.69
2022-04-27,Demo 4.64,N. Berg,H. Van Dijk,1,1.83,2.11
2022-04-29,Demo 4.65,E. Tanaka,D. Moreau,0,2.48,1.66
2022-05-01,Demo 4.66,I. Costa,J. Schmidt,0,1.96,1.68
2022-05-03,Demo 4.67,D. Moreau,I. Costa,1,1.62,2.3
2022-05-05,Demo 4.68,G. Petrov,M. Rossi,1,2.12,1.78
2022-05-07,Demo 4.69,N. Berg,E. Tanaka,0,1.74,2.05
2022-05-09,Demo 4.70,H. Van Dijk,A. Novak,1,1.93,1.83
2022-05-11,Demo 4.71,P. Doyle,C. Lindqvist,1,2.42,1.62
2022-05-13,Demo 4.72,H. Van Dijk,P. Doyle,0,1.66,2.16
2022-05-15,Demo 4.73,D. Moreau,N. Berg,1,1.67,2.16
2022-05-17,Demo 4.74,D. Moreau,B. Ferreira,0,1.6,2.35
2022-05-19,Demo 4.75,E. Tanaka,K. Mbaye,0,2.14,1.71
2022-05-21,Demo 4.76,C. Lindqvist,F. O'Connell,1,1.49,2.47
2022-05-23,Demo 4.77,O. Silva,E. Tanaka,0,2.34,1.79
2022-05-25,Demo 4.78,F. O'Connell,B. Ferreira,1,2.62,1.66
2022-05-27,Demo 4.79,F. O'Connell,B. Ferreira,0,2.47,1.53
2022-05-29,Demo 4.80,M. Rossi,P. Doyle,1,1.4,2.67
2022-05-31,Demo 4.81,E. Tanaka,H. Van Dijk,1,1.86,1.91
2022-06-02,Demo 4.82,K. Mbaye,A. Novak,0,1.8,2.23
2022-06-04,Demo 4.83,H. Van Dijk,K. Mbaye,0,2.23,1.76
2022-06-06,Demo 4.84,H. Van Dijk,P. Doyle,1,1.66,2.37
2022-06-08,Demo 4.85,B. Ferreira,A. Novak,0,1.95,1.81
2022-06-10,Demo 4.86,C. Lindqvist,M. Rossi,0,2.27,1.5
2022-06-12,Demo 4.87,B. Ferreira,I. Costa,1,1.79,1.92
2022-06-14,Demo 4.88,O. Silva,B. Ferreira,0,2.23,1.68
2022-06-16,Demo 4.89,P. Doyle,L. Kowalski,0,2.95,1.42
2022-06-18,Demo 4.90,C. Lindqvist,M. Rossi,0,2.35,1.67
2022-06-20,Demo 4.91,G. Petrov,K. Mbaye,1,2.03,1.9
2022-06-22,Demo 4.92,O. Silva,F. O'Connell,1,1.68,2.37
2022-06-24,Demo 4.93,L. Kowalski,P. Doyle,1,1.42,2.73
2022-06-26,Demo 4.94,J. Schmidt,I. Costa,1,1.78,2.09
2022-06-28,Demo 4.95,F. O'Connell,H. Van Dijk,0,2.37,1.48
2022-06-30,Demo 4.96,G. Petrov,B. Ferreira,0,1.77,2.08
2022-07-02,Demo 4.97,G. Petrov,L. Kowalski,1,2.17,1.67
2022-07-04,Demo 4.98,D. Moreau,M. Rossi,0,1.99,1.9
2022-07-06,Demo 4.99,E. Tanaka,H. Van Dijk,1,1.84,2.07
2022-07-08,Demo 4.100,F. O'Connell,L. Kowalski,0,3.01,1.42
2022-07-10,Demo 4.101,M. Rossi,K. Mbaye,1,1.82,2.32
2022-07-12,Demo 4.102,H. Van Dijk,E. Tanaka,1,2.01,1.8
2022-07-14,Demo 4.103,E. Tanaka,C. Lindqvist,0,1.85,1.93
2022-07-16,Demo 4.104,K. Mbaye,L. Kowalski,0,2.45,1.61
2022-07-18,Demo 4.105,G. Petrov,J. Schmidt,0,1.92,1.92
2022-07-20,Demo 4.106,F. O'Connell,I. Costa,0,2.69,1.58
2022-07-22,Demo 4.107,L. Kowalski,I. Costa,1,1.5,2.81
2022-07-24,Demo 4.108,J. Schmidt,O. Silva,0,1.59,2.47
2022-07-26,Demo 4.109,A. Novak,G. Petrov,1,2.03,1.72
2022-07-28,Demo 4.110,J. Schmidt,K. Mbaye,1,1.89,1.95
2022-07-30,Demo 4.111,J. Schmidt,D. Moreau,0,2.22,1.59
2022-08-01,Demo 4.112,H. Van Dijk,L. Kowalski,0,2.75,1.46
2022-08-03,Demo 4.113,J. Schmidt,L. Kowalski,0,2.7,1.44
2022-08-05,Demo 4.114,K. Mbaye,I. Costa,1,1.73,2.18
2022-08-07,Demo 4.115,O. Silva,N. Berg,0,2.18,1.66
2022-08-09,Demo 4.116,G. Petrov,M. Rossi,0,2.02,1.71
2022-08-11,Demo 4.117,C. Lindqvist,P. Doyle,1,1.62,2.27
2022-08-13,Demo 4.118,I. Costa,C. Lindqvist,1,1.95,1.87
2022-08-15,Demo 4.119,O. Silva,L. Kowalski,0,2.82,1.51
2022-08-17,Demo 4.120,J. Schmidt,H. Van Dijk,0,1.78,2.1
2022-08-19,Demo 4.121,K. Mbaye,I. Costa,1,1.69,2.22
2022-08-21,Demo 4.122,M. Rossi,B. Ferreira,1,1.56,2.43
2022-08-23,Demo 4.123,K. Mbaye,F. O'Connell,1,1.36,2.95
2022-08-25,Demo 4.124,A. Novak,B. Ferreira,0,2.06,1.86
2022-08-27,Demo 4.125,H. Van Dijk,A. Novak,0,2.03,1.79
2022-08-29,Demo 4.126,J. Schmidt,A. Novak,0,1.77,2.1
2022-08-31,Demo 4.127,O. Silva,H. Van Dijk,1,2.08,1.89
2022-09-02,Demo 4.128,F. O'Connell,M. Rossi,0,2.82,1.42
2022-09-04,Demo 4.129,G. Petrov,N. Berg,1,1.94,1.93
2022-09-06,Demo 4.130,N. Berg,K. Mbaye,0,1.86,1.81
2022-09-08,Demo 4.131,A. Novak,H. Van Dijk,1,1.87,1.93
2022-09-10,Demo 4.132,C. Lindqvist,J. Schmidt,0,1.94,1.85
2022-09-12,Demo 4.133,O. Silva,K. Mbaye,0,2.33,1.58
2022-09-14,Demo 4.134,C. Lindqvist,M. Rossi,0,2.1,1.6
2022-09-16,Demo 4.135,L. Kowalski,O. Silva,1,1.44,2.91
2022-09-18,Demo 4.136,O. Silva,G. Petrov,0,2.52,1.61
2022-09-20,Demo 4.137,H. Van Dijk,C. Lindqvist,0,2.13,1.87
2022-09-22,Demo 4.138,J. Schmidt,K. Mbaye,0,1.81,1.89
2022-09-24,Demo 4.139,L. Kowalski,A. Novak,1,1.54,2.38
2022-09-26,Demo 4.140,C. Lindqvist,E. Tanaka,1,1.9,2.04
2022-09-28,Demo 4.141,G. Petrov,P. Doyle,1,1.57,2.5
2022-09-30,Demo 4.142,I. Costa,D. Moreau,1,2.44,1.66
2022-10-02,Demo 4.143,B. Ferreira,N. Berg,0,2.34,1.81
2022-10-04,Demo 4.144,C. Lindqvist,E. Tanaka,1,1.91,2.0
2022-10-06,Demo 4.145,K. Mbaye,F. O'Connell,1,1.42,3.01
2022-10-08,Demo 4.146,K. Mbaye,H. Van Dijk,1,1.75,2.2
2022-10-10,Demo 4.147,E. Tanaka,J. Schmidt,0,2.08,1.78
2022-10-12,Demo 4.148,H. Van Dijk,L. Kowalski,0,2.89,1.46
2022-10-14,Demo 4.149,E. Tanaka,K. Mbaye,0,2.28,1.8
2022-10-16,Demo 4.150,D. Moreau,C. Lindqvist,1,1.58,2.26
2022-10-18,Demo 4.151,E. Tanaka,O. Silva,0,1.69,2.17
2022-10-20,Demo 4.152,A. Novak,N. Berg,0,1.92,1.78
2022-10-22,Demo 4.153,M. Rossi,P. Doyle,1,1.52,3.39
2022-10-24,Demo 4.154,P. Doyle,K. Mbaye,0,2.59,1.5
2022-10-26,Demo 4.155,J. Schmidt,C. Lindqvist,1,1.79,2.14
2022-10-28,Demo 4.156,F. O'Connell,M. Rossi,0,2.98,1.41
2022-10-30,Demo 4.157,E. Tanaka,L. Kowalski,1,2.91,1.52
2022-11-01,Demo 4.158,I. Costa,F. O'Connell,1,1.55,2.69
2022-11-03,Demo 4.159,L. Kowalski,G. Petrov,1,1.61,2.22
2022-11-05,Demo 4.160,I. Costa,N. Berg,0,2.17,1.81
